1726795;RU;DOM;SEBASTIAO LEME;477;-38.315.720;-3.447.502
1752398;RU; ;JOAO CORDEIRO;2960;-38.311.660;-3.447.816
208708;RU;CEL;JOAO CARNEIRO;133;-38.312.855;-3.453.032
29503;RU; ;JOAQUIM MAGALHAES;1043;-38.317.328;-3.443.738
5013109;RU; ;AGAPITO DOS SANTOS;624;-38.323.399;-3.436.024
3633;RU;PRC;ISABEL;279;-38.320.751;-3.434.040
2281098;RU; ;AGAPITO DOS SANTOS;588;-38.323.381;-3.435.738
3952800;RU; ;LIBERATO BARROSO;970;;
174944;RU; ;NOGUEIRA ACIOLI;1680;-38.311.826;-3.443.053
1642791;AV; ;ALBERTO NEPOMUCENO;199;-38.314.590;-3.433.851
3994854;AV; ;TRISTAO GONCALVES;959;;
4186;RU;PDE;MORORO;1079;-38.322.628;-3.435.722
1675664;RU; ;ANA GONCALVES;1202;-38.303.191;-3.455.358
5958653;RU; ;BELIZARIO TAVORA;221;-38.303.373;-3.454.544
7774;RU; ;GUILHERME ROCHA;253;-38.317.038;-3.436.164
8323;RU;SAO;PAULO;474;-38.318.053;-3.435.159
5959346;RU; ;AGAPITO DOS SANTOS;190;-38.322.717;-3.433.595
8518;RU;SAO;PAULO;1150;-38.321.402;-3.433.987
6325;RU; ;PEDRO PEREIRA;311;-38.316.963;-3.437.855
37275;RU;DNA;TERESA CRISTINA;1604;-38.323.426;-3.440.687
4172;RU;PDE;MORORO;1044;-38.322.544;-3.435.490
5689313;RU; ;LIBERATO BARROSO;940;;
32737;RU; ;QUINTINO BOCAIUVA;430;-38.317.747;-3.443.040
62199;RU; ;SENA MADUREIRA;884;-38.315.453;-3.437.107
9061;RU;SEN;ALENCAR;631;-38.318.945;-3.434.273
1637594;AV; ;ALBERTO NEPOMUCENO;199;-38.314.590;-3.433.851
9907;RU; ;DO TRILHO;1081;-38.319.716;-3.431.765
5723;RU;DOM;PEDRO I;599;-38.317.915;-3.438.434
1639380;AV; ;ALBERTO NEPOMUCENO;199;-38.314.590;-3.433.851
4866;RU; ;AGAPITO DOS SANTOS;140;-38.322.697;-3.433.393
1639381;AV; ;ALBERTO NEPOMUCENO;199;-38.314.590;-3.433.851
1640079;AV; ;ALBERTO NEPOMUCENO;199;-38.314.590;-3.433.851
8968;RU;SEN;ALENCAR;486;-38.318.088;-3.434.456
138620;RU; ;RODRIGUES JUNIOR;921;-38.312.837;-3.439.730
4964875;AV;PDE;IBIAPINA;1313;-38.324.253;-3.436.062
1476;RU;BAR;DO RIO BRANCO;691;-38.316.606;-3.434.661
8563;RU;SAO;PAULO;1432;-38.322.992;-3.433.492
3657;RU;PRC;ISABEL;397;-38.320.952;-3.434.719
177807;RU; ;JOAO CORDEIRO;3100;-38.311.659;-3.448.497
180023;RU; ;SORIANO ALBUQUERQUE;987;-38.307.914;-3.449.769
2017079;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
4988566;RU;BAR;DO RIO BRANCO;1975;-38.318.669;-3.441.272
5011137;VL; ;NAZIRA;95;-38.320.263;-3.445.513
5782658;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
5967883;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
2315247;;;;;;
2017412;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
4483469;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
2613046;;;;1376;;
4910846;RU; ;HENRIQUE RABELO;1376;-38.312.964;-3.445.805
